OSPA,cardinality_error,discovery_rate,episode_index,episode_reward,estimated_count,estimated_peak_count,fairness,max_observation_gap,mean_first_detection_time,mean_observation_gap,mean_reward,miss_violation_rate,mode,observation_rate,overlap_penalty,steps,true_target_count
25.0,1.9999995231628418,0.2,0,25.83570866171374,6.999999523162842,1.0,1.0,32.0,0.0,32.0,0.43059514436189567,1.0,random,0.056666666666666664,0.0039535321773736904,60,5.0
25.0,0.26710033416748047,0.0,1,-5.6078011665168495,5.2671003341674805,0.0,0.0,0.0,nan,0.0,-0.09346335277528083,0.0,random,0.0,0.13215408993818972,60,5.0
20.270759224891663,0.6496829986572266,0.4,2,21.1527400030293,5.649682998657227,1.0,0.6153846156804734,26.0,30.0,2.5,0.35254566671715504,0.0,random,0.08666666666666667,0.0,60,5.0
25.0,0.45737648010253906,0.6,3,27.144772469474557,5.457376480102539,0.0,0.7790927797887991,38.0,4.666666666666667,17.333333333333332,0.4524128744912426,0.6666666666666666,random,0.16666666666666666,0.0036975016284026743,60,5.0
25.0,1.60931396484375,0.4,4,27.895317170911955,6.60931396484375,0.0,0.6666666668148149,14.0,5.5,13.5,0.4649219528485326,1.0,random,0.15,0.011124468354012814,60,5.0
25.0,1.0965824127197266,0.6,5,33.89066141028663,6.096582412719727,0.0,0.20903700920950374,16.0,36.0,0.0,0.5648443568381105,0.0,random,0.15666666666666668,0.011284824783661418,60,5.0
20.654791402816773,0.9999990463256836,0.2,6,24.648772349249867,5.999999046325684,1.0,1.0,29.0,1.0,0.0,0.4108128724874978,0.0,random,0.06,0.09456678762835444,60,5.0
25.0,4.76837158203125e-07,0.6,7,9.812905270731573,5.000000476837158,0.0,0.0,29.0,18.666666666666668,19.0,0.16354842117885954,0.6666666666666666,random,0.10333333333333333,0.039093326527188964,60,5.0
25.0,0.0,0.2,8,3.6703475605254505,5.0,0.0,1.0,2.0,51.0,2.0,0.06117245934209084,0.0,random,0.016666666666666666,0.03452968680288519,60,5.0
25.0,1.0,0.0,9,-3.175628669545577,6.0,1.0,0.0,0.0,nan,0.0,-0.05292714449242628,0.0,random,0.0,0.02272926363138573,60,5.0
25.0,0.0,0.8,10,27.409483644939193,5.0,0.0,0.17918113056315688,45.0,15.75,19.25,0.4568247274156532,0.75,random,0.20333333333333334,0.0010833433207839522,60,5.0
20.287723207473753,1.856095314025879,0.4,11,30.131267193400767,6.856095314025879,1.0,0.6923076925443787,23.0,18.5,4.5,0.5021877865566794,0.5,random,0.08666666666666667,0.0072396926540968165,60,5.0
20.156740391254424,2.810702323913574,0.6,12,12.449822504634918,7.810702323913574,1.0,0.2120483722027071,48.0,18.666666666666668,1.3333333333333333,0.2074970417439153,0.0,random,0.14666666666666667,0.07680289402200949,60,5.0
20.630968809127808,3.141063690185547,0.8,13,33.46272909741708,8.141063690185547,1.0,0.8820049161078372,32.0,16.25,0.0,0.557712151623618,0.0,random,0.3233333333333333,0.07703729631621868,60,5.0
25.0,4.76837158203125e-07,0.4,14,-10.697541741271314,5.000000476837158,0.0,0.18181818330578514,51.0,4.0,50.0,-0.1782923623545219,1.0,random,0.03666666666666667,0.06429245821521545,60,5.0
25.0,0.37704944610595703,0.2,15,10.214095466742327,5.377049446105957,0.0,1.0,40.0,10.0,0.0,0.17023492444570545,0.0,random,0.02666666666666667,0.09073247943561193,60,5.0
25.0,1.0,0.4,16,7.579427419132475,6.0,0.0,0.35294117723183394,31.0,20.0,26.0,0.12632379031887458,1.0,random,0.056666666666666664,0.04913070878005516,60,5.0
25.0,1.3916301727294922,0.8,17,20.18587638350435,6.391630172729492,0.0,0.880000000096,38.0,10.0,10.75,0.33643127305840587,0.5,random,0.16666666666666666,0.003921374481152489,60,5.0
25.0,1.0000004768371582,0.4,18,11.263473830133409,6.000000476837158,0.0,0.27272727338842984,45.0,26.0,23.0,0.1877245638355568,0.5,random,0.07333333333333333,0.0862334126922953,60,5.0
20.413177394866942,1.0000004768371582,0.8,19,37.18204603347085,6.000000476837158,1.0,0.6395182061091518,17.0,22.75,6.0,0.6197007672245142,0.25,random,0.2633333333333333,0.009826500091850151,60,5.0
